System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.1 port 1,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/05,PROD,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM1.0 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/08,GTDL,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.1 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/09,LOG,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.0 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/08,GTDL,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.0 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/09,LOG,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.0 port 2,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/06,ARBI10,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 port 2,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/07,ETG,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.0 port 2,HZL-COLO-PRODTDNAGG3-SWA6,HZL-Z1-C3,E1/07,ETG,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM1.0 port 1,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/06,PROD,10Gb
bogeyz1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 port 1,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/06,PROD,10Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 8 port 2,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/05,FEED,10Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 4 port 2,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/05,FEED,10Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 2 port 1,HZL-COLO-PRODTDNAGG3-SWA3,HZL-Z1-C1,E1/05,ARBI40,40Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 8 port 1,HZL-COLO-PRODTDNAGG3-SWA5,HZL-Z1-C1,E1/05,ARBI10,10Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 6 port 1,HZL-COLO-PRODTDNDH2-SWA1,HZL-Z1-B1,E1/05,PRODHYPER,10Gb
bookz1,X5-8,,hzl-b1_01 cf025 (HZL-Z1-B3),Slot 6 port 2,HZL-COLO-PRODTDNDH2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/05,PRODHYPER,10Gb
boxerz1,X4-2L,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 3 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/06,BUILD,10Gb
boxerz1,X4-2L,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 3 port 2,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/06,BUILD,10Gb
celtserverz1,X4-2L,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 3 port 1,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/07,PRODHYPER,10Gb
celtserverz1,X4-2L,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 3 port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/07,PRODHYPER,10Gb
celtstoragez1,X4-2L,,HZL-Z1-D2,Slot 3 port 1,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/08,PROD,10Gb
celtstoragez1,X4-2L,,HZL-Z1-D2,Slot 3 port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/08,PROD,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM3.0 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/10,GTDL,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM3.0 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/11,LOG,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM2.1 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/12,TPFUN,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM2.1 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/10,GTDL,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM2.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/11,LOG,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM1.0 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/12,TPFUN,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM0.0 port 2,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/08,ARBI10,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM0.1 port 1,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/07,PROD,10Gb
cleekz1,X1-8,,HZL-Z1-C3,EM1.0 port 2,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/07,PROD,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 4 Port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/13,GTDL,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 10 Port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/14,LOG,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 6 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/15,TPFUN,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 8 Port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/13,GTDL,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 6 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/14,LOG,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 8 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/15,TPFUN,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 2 Port 1,HZL-COLO-PRODTDNAGG3-SWA3,HZL-Z1-C1,E1/06,ARBI40,40Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 10 port 2,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/08,PROD,10Gb
divotz1,X4-8,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 4 port 2,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/08,PROD,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 2 Port 1,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/07,FEED,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 3 Port 2,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/08,FEPC,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 7 Port 2,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/07,FEED,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 9 port 2,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/08,FEPC,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 7 port 1,HZL-COLO-PRODTDNAGG2-SWA3,HZL-Z1-B1,E1/05,EXCH,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 9 port 1,HZL-COLO-PRODTDNAGG2-SWA4,hzl-b1_01 cf025 (HZL-Z1-B3),E1/05,EXCH,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 2 Port 2,HZL-COLO-PRODTDNDH2-SWA1,HZL-Z1-B1,E1/07,PRODHYPER,10Gb
dtpfepcz1a,X2-4,,HZL-Z1-B2,Slot 1 Port 1,HZL-COLO-PRODTDNDH2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/07,PRODHYPER,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 3 port 1,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/09,FEED,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 7 Port 2,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/10,FEPC,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 2 port 1,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/09,FEED,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 9 port 2,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/10,FEPC,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 6 port 1,HZL-COLO-PRODTDNAGG2-SWA3,HZL-Z1-B1,E1/06,EXCH,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 7 port 1,HZL-COLO-PRODTDNAGG2-SWA4,hzl-b1_01 cf025 (HZL-Z1-B3),E1/06,EXCH,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 1 Port 2,HZL-COLO-PRODTDNDH2-SWA1,HZL-Z1-B1,E1/08,PRODHYPER,10Gb
dtpfepcz1n,X2-4,,HZL-Z1-B1,Slot 2 Port 2,HZL-COLO-PRODTDNDH2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/08,PRODHYPER,10Gb
dtpz1b,X4640,,HZL-Z1-B2,EM0.1 port 2,HZL-COLO-PRODTDNAGG2-SWA1,HZL-Z1-B1,E1/15,FEPC,10Gb
dtpz1b,X4640,,HZL-Z1-B2,EM0.0 port 2,HZL-COLO-PRODTDNAGG2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/15,FEPC,10Gb
dtpz1b,X4640,,HZL-Z1-B2,EM0.1 port 1,HZL-COLO-PRODTDNDH2-SWA1,HZL-Z1-B1,E1/11,PROD,10Gb
dtpz1b,X4640,,HZL-Z1-B2,EM0.0 port 1,HZL-COLO-PRODTDNDH2-SWA2,hzl-b1_01 cf025 (HZL-Z1-B3),E1/11,PROD,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 4 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/16,GTDL,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/17,LOG,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/16,GTDL,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/17,LOG,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 7 Port 1,HZL-COLO-PRODTDNAGG3-SWA3,HZL-Z1-C1,E1/07,ARBI40,40Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 9 port 1,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/09,ARBI10,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 8 port 2,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/10,ETG,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 8 port 1,HZL-COLO-PRODTDNAGG3-SWA6,HZL-Z1-C3,E1/10,ETG,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),Slot 6 port 1,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/09,PROD,10Gb
eaglez1,X4-4,,hzl-b1_01 cf022 (HZL-Z1-C4),,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/09,PROD,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/18,GTDL,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 6 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/19,LOG,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 8 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/20,TPFUN,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 8 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/18,GTDL,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 4 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/19,LOG,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/20,TPFUN,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 2 Port 1,HZL-COLO-PRODTDNAGG3-SWA3,HZL-Z1-C1,E1/08,ARBI40,40Gb
fairwayz1,X4-8,,HZL-Z1-C1,,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/10,PROD,10Gb
fairwayz1,X4-8,,HZL-Z1-C1,Slot 8 port 2,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/10,PROD,10Gb
fismz1,DL380G8,,hzl-b1_01 cf030 (HZL-Z1-A1),Slot 2 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/07,HOSTHYPER,10Gb
fismz1,DL380G8,,hzl-b1_01 cf030 (HZL-Z1-A1),Slot 1 port 1,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/07,HOSTHYPER,10Gb
fitdbserverz1,X2-2L,,HZL-Z1-D2,Slot 4 port 1,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/09,PRODHYPER,10Gb
fitdbserverz1,X2-2L,,HZL-Z1-D2,Slot 4 port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/09,PRODHYPER,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 Port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/21,GTDL,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.0 Port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/22,LOG,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.0 Port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/23,TPFUN,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/21,GTDL,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM1.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/22,LOG,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM1.0 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/23,TPFUN,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.0 port 1,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/11,ARBI10,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM0.1 port 1,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/11,PROD,10Gb
fringez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.0 port 2,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/11,PROD,10Gb
galaxyz1,X4-8,,HZL-Z1-D2,Slot 12 port 1,HZL-COLO-PRODTDNAGG4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/06,TKR,10Gb
galaxyz1,X4-8,,HZL-Z1-D2,Slot 10 port 1,HZL-COLO-PRODTDNAGG4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/06,TKR,10Gb
galaxyz1,X4-8,,HZL-Z1-D2,Slot 12 port 2,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/10,PROD,10Gb
galaxyz1,X4-8,,HZL-Z1-D2,Slot 10 port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/10,PROD,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 3 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/24,GTDL,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 2 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/29,LOG,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 1 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/30,TPFUN,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 8 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/24,GTDL,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 5 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/29,LOG,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 3 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/30,TPFUN,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 5 port 1,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/12,ARBI10,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 6 port 2,HZL-COLO-PRODTDNDH3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/12,PROD,10Gb
greenz1,X2-4,,HZL-Z1-C3,Slot 8 port 2,HZL-COLO-PRODTDNDH3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/12,PROD,10Gb
gsmrepz1,DL380G8,,HZL-Z1-A2,Slot 2 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/24,HOST,10Gb
gsmrepz1,DL380G8,,HZL-Z1-A2,Slot 2 port 2,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/24,HOST,10Gb
gsmwebprod01z,DL380G8,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 2 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/08,WEBHOST,10Gb
gsmwebprod01z,DL380G8,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 2 port 2,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/08,WEBHOST,10Gb
icqfepz1,R720,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 2 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/09,IDMZ,10Gb
icqfepz1,R720,,hzl-b1_01 cf028 (HZL-Z1-A3),Slot 2 port 2,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/09,IDMZ,10Gb
incaserverz1,X4-2L,,hzl-b1_01 cj026 (HZL-Z1-D1),Slot 3 port 1,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/11,PRODHYPER,10Gb
incaserverz1,X4-2L,,hzl-b1_01 cj026 (HZL-Z1-D1),Slot 3 port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/11,PRODHYPER,10Gb
itcfepcz1a,X2-8,,hzl-b1_01 cf022 (HZL-Z1-C4),EM3.0 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/31,GTDL,10Gb
itcfepcz1a,X2-8,,hzl-b1_01 cf022 (HZL-Z1-C4),EM2.0 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/32,LOG,10Gb
itcfepcz1a,X2-8,,hzl-b1_01 cf022 (HZL-Z1-C4),EM0.0 port 1,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/31,GTDL,10Gb
itcfepcz1a,X2-8,,hzl-b1_01 cf022 (HZL-Z1-C4),EM1.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/32,LOG,10Gb
itcfepcz1a,X2-8,,hzl-b1_01 cf022 (HZL-Z1-C4),EM0.0 port 2,HZL-COLO-PRODTDNAGG3-SWA5,hzl-b1_01 cf024 (HZL-Z1-C2),E1/13,ARBI10,10Gb
